"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"360",1,1,1,2,2,3,2,1,2,1,1,2,2,3
"361",2,1,1,2,3,2,2,1,2,1,1,2,1,4
"362",2,1,2,2,1,2,2,1,2,1,1,2,1,7
"363",1,2,2,3,2,2,2,1,2,1,1,2,1,5
"364",1,1,2,2,2,2,2,1,2,1,2,3,1,4
"365",1,1,2,2,1,2,2,1,2,1,2,3,1,6
"366",1,1,2,1,1,2,2,1,2,1,2,2,2,5
"367",2,2,2,1,3,2,2,1,2,1,2,2,3,3
"368",2,1,2,2,2,2,2,1,2,1,2,2,2,3
"369",2,2,2,2,2,2,2,1,2,1,2,4,1,3
"370",2,1,2,2,2,2,2,2,2,2,2,2,1,3
"371",1,2,2,2,2,1,2,1,2,1,2,2,1,5
"372",1,2,1,3,1,2,2,1,2,1,2,4,2,1
"373",2,1,1,2,1,2,2,1,2,1,2,2,2,6
"374",1,2,1,2,2,2,2,1,2,1,2,2,2,4
"375",2,1,2,2,1,2,2,1,2,1,2,2,2,6
"376",2,2,2,1,1,2,2,1,2,1,2,2,3,6
"377",2,2,2,2,1,2,2,1,2,2,2,2,1,4
"378",2,2,2,2,3,2,2,1,2,1,2,2,2,3
"379",2,2,2,2,2,2,2,1,2,1,2,2,1,4
"380",2,1,2,1,1,1,2,2,2,1,2,2,2,6
"381",1,1,2,4,3,2,2,2,2,1,2,3,2,5
"382",2,2,2,2,4,2,2,1,2,1,1,2,2,2
"383",2,2,2,2,2,1,2,1,2,1,1,1,2,5
"384",1,2,2,2,2,2,2,2,2,1,2,2,1,3
"385",1,2,1,2,2,3,2,1,2,1,1,2,2,3
"386",2,2,1,2,2,2,2,1,2,1,1,2,2,4
"387",2,1,1,2,1,1,2,1,2,1,1,2,3,7
"388",1,1,2,3,3,2,2,1,2,1,2,2,1,7
"389",2,1,2,2,1,2,2,1,2,1,1,1,1,5
"390",2,1,2,2,2,2,2,1,2,1,1,2,1,7
"391",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"392",2,1,2,2,2,2,2,1,2,1,1,2,1,5
"393",2,1,2,2,2,2,2,1,2,1,2,2,1,6
"394",2,1,2,2,2,3,2,1,2,1,2,2,1,5
"395",2,2,1,2,2,2,2,1,2,1,2,2,2,5
"396",2,2,1,2,2,2,2,2,2,2,2,2,1,6
"397",1,2,1,2,3,2,2,2,2,2,1,3,2,4
"398",1,1,2,2,2,2,2,2,2,2,2,2,1,5
"399",2,2,2,2,2,2,2,1,2,1,1,2,2,7
"400",2,1,1,2,2,2,2,1,2,1,1,2,2,5
"401",2,2,1,2,2,2,2,1,2,2,2,2,1,6
"402",2,2,1,2,3,3,2,1,2,2,2,1,1,4
"403",2,1,2,2,2,2,2,1,2,1,1,2,1,3
"404",1,2,2,3,3,3,2,1,2,1,2,3,2,2
"405",1,1,1,3,2,2,2,1,2,1,1,3,2,1
"406",2,2,1,2,2,1,2,1,2,1,1,1,1,3
"407",2,1,2,1,1,2,2,1,2,1,1,1,2,6
"408",2,1,2,2,1,2,2,1,2,1,1,2,2,6
"409",2,1,2,2,2,2,2,1,2,2,1,2,1,5
"410",2,2,2,2,1,2,2,2,2,2,2,3,1,4
"411",2,2,2,2,2,2,2,2,2,2,2,2,1,5
"412",1,1,2,2,2,2,2,2,2,2,2,2,1,4
"413",2,2,2,2,2,2,2,2,2,2,2,2,1,5
"414",2,1,2,2,2,2,2,2,2,2,2,3,1,3
